지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm)
108,서울,2021-07-27,31.1,27.8,601,35.7,1520,,,
108,서울,2021-07-28,30.4,27.1,600,34.7,1456,1.33,0,0
108,서울,2021-07-29,29.6,27,529,33.3,1303,,,
108,서울,2021-07-30,30.5,25.8,559,35.4,1406,,,
108,서울,2021-07-31,29.8,26.8,538,34.3,1457,2.75,2.4,2.4
108,서울,2021-08-01,27.1,25.1,2345,28.8,1237,13.42,7.3,8.7
108,서울,2021-08-02,26.5,25,17,28.6,1725,6.92,.4,1.4
108,서울,2021-08-03,28,24.1,538,31.4,1441,.35,0,0
108,서울,2021-08-04,28.9,26.3,532,33.2,1426,,,
108,서울,2021-08-05,29.4,25.6,407,33.7,1511,,,
108,서울,2021-08-06,28.1,26,2332,32.2,1304,,,
108,서울,2021-08-07,28,23.4,547,32.3,1616,,,
108,서울,2021-08-08,26.8,24.4,607,32.1,1324,4.58,7.8,11.6
108,서울,2021-08-09,28.3,23.3,455,33.6,1530,,,
108,서울,2021-08-10,27.7,24.3,549,32.2,1528,,,
108,서울,2021-08-11,27.4,24.1,630,31.6,1624,1.25,0,0
108,서울,2021-08-12,26.8,24,2305,31.7,1432,1.08,0,0
108,서울,2021-08-13,26.6,23.4,201,30.1,1620,,,
108,서울,2021-08-14,26.1,23.4,603,30.5,1449,,,
108,서울,2021-08-15,26.9,21.7,457,32.4,1614,,,
108,서울,2021-08-16,27.3,22.5,611,32.8,1627,.92,0,0
108,서울,2021-08-17,25.9,21.9,2357,31.3,1347,4.67,1.2,5.3
108,서울,2021-08-18,24.3,20.6,806,31,1511,3.97,1.3,2.9
108,서울,2021-08-19,26,21,429,31.5,1533,,,
108,서울,2021-08-20,26.6,22.6,609,30.7,1641,.58,0,0
108,서울,2021-08-21,23.8,21,1312,25.5,1600,11.33,11.9,27.9
108,서울,2021-08-22,24.4,22.4,524,27,1319,1,0,0
108,서울,2021-08-23,22.4,21,2132,24,1124,11.33,.5,2
108,서울,2021-08-24,23.4,21.1,1,26.4,1524,12.58,1.3,2.8
108,서울,2021-08-25,25,23.5,603,27.3,1502,4.25,.2,.3
108,서울,2021-08-26,25.5,22.9,523,27.9,1442,1.17,.7,.7
108,서울,2021-08-27,22.4,20.4,2317,25.5,1,10.38,.3,.7
108,서울,2021-08-28,23.6,19.7,615,28.2,1443,,,
108,서울,2021-08-29,23.7,21.9,752,26.3,1640,3.17,.5,.7
108,서울,2021-08-30,24.2,21.2,605,27.7,1543,1.17,0,0
108,서울,2021-08-31,20.5,18.1,1810,23.1,1,16.55,4.4,12.4
108,서울,2021-09-01,21.4,18.5,121,23.9,1525,4.08,.7,3.1
108,서울,2021-09-02,23.5,20.7,551,26.7,1359,,,
108,서울,2021-09-03,24.3,20.6,455,29.2,1543,,,
108,서울,2021-09-04,23.2,18.5,548,28.6,1505,,,
108,서울,2021-09-05,23.1,19.4,458,27.3,1311,,,
108,서울,2021-09-06,22.3,18,2345,26.4,1252,9.17,1.2,4
108,서울,2021-09-07,19.6,17.6,112,20.9,1629,22.58,2.4,6.6
108,서울,2021-09-08,22.2,19,543,26.9,1428,6.67,.3,.7
108,서울,2021-09-09,23.5,19.1,432,29.1,1610,,,
108,서울,2021-09-10,23.6,19.5,615,28.9,1423,,,
108,서울,2021-09-11,24,19.9,619,29.4,1449,,,
108,서울,2021-09-12,24.2,19.2,624,29.8,1557,,,
108,서울,2021-09-13,24.8,20.8,610,30.3,1504,,,
108,서울,2021-09-14,24.6,20,615,29.5,1626,,,
108,서울,2021-09-15,23.6,19.5,620,28.9,1442,,,
108,서울,2021-09-16,22.9,18,551,27.3,1323,,,
108,서울,2021-09-17,23.5,20.5,658,28.2,1506,,,
108,서울,2021-09-18,23.9,18.9,653,29.8,1529,,,
108,서울,2021-09-19,23.7,20.8,2356,27.8,1513,,,
108,서울,2021-09-20,23.7,19,603,28.4,1523,,,
108,서울,2021-09-21,22,17.4,2353,26.2,1446,9.58,7.5,27.1
108,서울,2021-09-22,20.2,16.8,436,24.3,1524,2,1.9,4.2
108,서울,2021-09-23,20.9,16.9,300,25.9,1617,,,
108,서울,2021-09-24,21.8,16.7,619,26.9,1529,,,
108,서울,2021-09-25,21.2,18.7,427,23.1,1607,,,
108,서울,2021-09-26,22.6,18.4,645,27.3,1535,,,
108,서울,2021-09-27,21.6,18.7,544,25,1208,5.67,0,0
108,서울,2021-09-28,21.5,19.6,410,24.4,1247,9.28,.3,.7
108,서울,2021-09-29,20.2,17.8,2400,21.4,1132,12.25,1.6,5
108,서울,2021-09-30,20.3,16,609,25.9,1506,,,
108,서울,2021-10-01,21.1,16.9,605,27.5,1416,2.17,8.5,12.7
108,서울,2021-10-02,20.7,16.4,540,26.6,1516,,,
108,서울,2021-10-03,22.3,17.1,552,28.8,1447,,,
108,서울,2021-10-04,22.9,19.2,223,25.6,1509,6.17,1.1,3.5
108,서울,2021-10-05,23.6,21.7,2338,26.5,1335,2.92,0,0
108,서울,2021-10-06,18.8,17.9,829,21.7,1,11.92,.6,2
108,서울,2021-10-07,19.4,17.9,2353,21.9,1345,6.08,1.2,3.8
108,서울,2021-10-08,18.8,17.5,117,20,1359,8.58,.3,.9
108,서울,2021-10-09,20.9,18.5,339,24.1,1632,3.5,.2,.3
108,서울,2021-10-10,19.9,14.9,2357,24.3,1209,13.33,1.4,4.4
108,서울,2021-10-11,15.2,12.6,646,17.8,1614,4.83,.2,.3
108,서울,2021-10-12,17.9,15.8,130,21.3,1556,,,
108,서울,2021-10-13,19.6,14.9,445,25.2,1555,,,
108,서울,2021-10-14,19.7,17.4,659,23.9,1444,,,
108,서울,2021-10-15,19,17,637,21.4,1356,7.83,0,0
108,서울,2021-10-16,10.7,4.2,2327,18.1,1,2.17,0,0
108,서울,2021-10-17,5.6,1.3,657,10.8,1548,,,
108,서울,2021-10-18,9.6,2.8,453,16.1,1347,4.08,1.3,4.8
108,서울,2021-10-19,10.9,7.1,2359,15,1336,2.75,1,3.1
108,서울,2021-10-20,9.5,4.6,612,15.8,1515,,,
108,서울,2021-10-21,9.8,4.9,658,16.2,1511,,,
108,서울,2021-10-22,10.8,5.2,658,17.2,1543,,,
108,서울,2021-10-23,11.4,5.7,716,18.4,1408,,,
108,서울,2021-10-24,11.4,6,713,18.1,1522,,,
108,서울,2021-10-25,11.7,6.3,717,17.6,1528,,,
108,서울,2021-10-26,13,7.7,638,19,1441,,,
108,서울,2021-10-27,13.4,9.8,2349,18.1,1557,.75,0,0
108,서울,2021-10-28,12.7,7.1,709,20,1537,,,
108,서울,2021-10-29,14.6,10.5,511,20.6,1456,,,
108,서울,2021-10-30,13.8,11,704,18,1612,,,
108,서울,2021-10-31,14.1,9.2,652,20.3,1426,.58,.7,.7
108,서울,2021-11-01,12.9,10.3,717,16.9,1452,,,
108,서울,2021-11-02,11.5,7.9,541,16.9,1452,,,
108,서울,2021-11-03,12.1,7.6,709,17.1,1349,,,
108,서울,2021-11-04,12.1,8.4,718,16.3,1611,.25,,
108,서울,2021-11-05,13,7.8,711,20.2,1432,,,
108,서울,2021-11-06,14.1,8.8,617,21.3,1416,,,
108,서울,2021-11-07,15.3,9.7,709,21.3,1332,,,
108,서울,2021-11-08,8.6,4.5,2347,15.5,1,18.5,,
108,서울,2021-11-09,4.9,3,348,6.5,1630,11.08,,
108,서울,2021-11-10,4.2,.7,452,7.7,1526,4.58,,
108,서울,2021-11-11,5.3,2.1,530,9.7,1238,.17,,
108,서울,2021-11-12,4.5,1.3,729,8.6,1413,,,
108,서울,2021-11-13,7.3,.5,704,13.4,1336,,,
108,서울,2021-11-14,11.3,7.8,509,16.4,1332,,,
108,서울,2021-11-15,10.1,5.8,738,15.7,1432,,,
108,서울,2021-11-16,8.5,4.4,716,13.6,1358,,,
108,서울,2021-11-17,7.5,2.7,655,12.5,1248,,,
